,Fixed Acidity,Volatile Acidity,Citric Acid,Residual Sugar,Quality
,5.1,3.5,0,1.9,good
,4.9,3,0,2.6,good
,4.7,3.2,0.04,2.3,good
,4.6,3.1,0.56,1.9,average
,5,3.6,0,1.9,good
,5.4,3.9,0,1.8,bad
,4.6,3.4,0.06,1.6,good
,5,3.4,0.18,3.8,bad
,4.4,2.9,0.31,2.3,average
,4.9,3.1,0.21,1.6,average
,5.2,3.3,0.11,2.1,average
,4.8,3.2,0.25,2.2,average
,5.3,3.7,0.15,1.7,good
,5.5,4,0.05,1.5,good
,4.7,3.3,0.29,2,average
,5.1,3.8,0.12,1.8,good
,5.3,3.4,0.2,2.4,average
,5.7,3.5,0.23,2.5,average
,5.1,3.7,0.22,2.3,average
,5.3,3.8,0.27,2.7,average
,5.4,3.4,0.24,2.9,average
,4.6,3.6,0.25,2.1,average
,5.1,3.3,0.28,2,average
,4.9,3.4,0.17,1.8,average
,5.7,3.1,0.15,1.9,good
,5.1,3.8,0.2,2.2,average
